FromEdgeID;ToEdgeID;RunTime
207716520;4594894#4;977
207716520;57936173#3;978
207716520;223737429;1424
207716520;-461331989#0;1315
207716520;28819804;1069
207716520;-MA068;1083
207716520;23109073#1;165
207716520;52158843#1;761
207716520;-857983579;714
207716520;243102981;1196
207716520;806903754;652
207716520;385888165#4;901
207716520;-31002335#0;976
207716520;138515677#4;899
207716520;256245721;228
207716520;710761406;745
207716520;30143978#1;375
207716520;-858123638#0;987
207716520;4463221#1;353
207716520;451621867#1;623
207716520;-451621866;670
207716520;4392634#2;301
207716520;MA080;1085
207716520;-450086133;963
207716520;32197350#0;892
207716520;139806486#2;77
207716520;-79701272#0;1000
207716520;30709383;1058
207716520;151043332#5;464
207716520;332306828#3;553
207716520;4442099#1;440
207716520;450189363;1208
23044566;E19.203;1289
23044566;671403224#1;1135
23044566;-140336718#0;418
23044566;30276434#1;1063
23044566;914393586;1135
23044566;4517104;928
23044566;-25418282;928
23044566;718428117#1;385
23044566;207716520;418
23044566;23044566;5
23044566;4368690;753
23044566;451458155;1588
23044566;375861848;1272
23044566;-420483060#0;1519
23044566;24041366;1226
23044566;455953261#1;1520
23044566;111251392;1171
23044566;-333626093;1176
23044566;4389557#1;1127
23044566;42813669;1970
23044566;24735700;1790
23044566;456213456;1285
23044566;231262268#0;1748
23044566;27606891#2;1195
23044566;-10947989;2159
23044566;98410013#0;2164
23044566;172282359;707
23044566;148288810#2;699
23044566;76402289;1080
23044566;461910870#2;720
23044566;30157285;580
23044566;24160797;497
23044566;4616321#2;807
23044566;-259536422;959
23044566;-39496182#0;1772
23044566;MA047;1363
23044566;-669433184;1595
23044566;4802807#2;1497
23044566;39473294;1813
23044566;41976565;1642
23044566;-671403217;1194
23044566;-165465028#0;1222
23044566;4486596#2;576
23044566;24673480;592
23044566;30699893;613
23044566;-469999015;1019
23044566;469999020;582
23044566;120395207#1;840
23044566;30157290;554
23044566;469999032;446
23044566;30157292#1;568
23044566;-469999029;436
23044566;25369033#2;832
23044566;15926759;981
23044566;4594894#4;1344
23044566;57936173#3;1346
23044566;223737429;1791
23044566;-461331989#0;1683
23044566;28819804;1436
23044566;-MA068;1337
23044566;23109073#1;511
